Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Value,Rank
Food Civil Supplies and Consumer Affairs Department||Directorate of Food Civil Supplies and Consumer Affairs,DS. 72/2021/18 dated 19-07-2021,2021_FCS_22191_1,Yes,Open Tender,EOI,Goods,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Fee and EMD,19-Jul-2021 12:00 PM,10-Sep-2021 12:00 PM,19-Jul-2021 02:00 PM,09-Sep-2021 03:00 PM,NA ,NA ,19-Jul-2021 02:00 PM,09-Sep-2021 03:00 PM,"10,000",Yes,fixed,,Seceretary to the Govt. of Assam FCS and CA Deptt,Guwahati,1.0,Corrigendum No. 2 date extension,Date,,DD - Demand Draft,"2,000",Director Food Civil Supplies and Consumer Affairs,Guwahati,No,"Director, FCS and CA, Assam, Ghy-5","Directorate of Food, Civil Supplies and Consumer Affairs, Assam, Bhangagarh, Sethi Trust Building Ground Flood, Guwahati, Pin-781005",E-tender for the allotment of Salt (under Zonal quota) detailed hereunder for the pperiod of 2021-22,E-tender for the allotment of Salt (under Zonal quota) detailed hereunder for the period of 2021-22.,E-tender for the allotment of Salt (under Zonal quota) detailed hereunder for the period of 2021-22. ,NA ,,Food Products,Allotment of Salt and distribution  ,Tender,365.0,365.0,Assam,781005.0,"Directorate of FCS and CA, Assam, Guwahati-5 ","Directorate of Food, Civil Supplies and Consumer Affairs, Assam, Bhangagarh, Sethi Trust Building Ground Flood, Guwahati, Pin-781005 ",28-Jul-2021 12:00 PM ,"Directorate of FCS and CA, Assam, Guwahati-5",No ,No,1.0,19-Aug-2024,INR 0,365.0,Pritom Hazarika,19-Aug-2024 04:07 PM,AOC.pdf (1537.00 KB),Award of Contract,121916.0,Sri Narayani Salt Trade,INR,0.0,08-Sep-2021 01:53 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,Finance,Minutes of Selection Committee meeting,24-Feb-2022 02:43 PM,finance_34424.pdf,Secretary to the Govt. of Assam FCS and CA Deptt,Internal,"Director, FCS and CA, Joint Secretary, FCS and CA Deptt, Deputy Secretary FCS and CA Deptt, Joint Director, FCS and CA",0.0,9.0
,,,,,,,,,,,,,,,,.pdf,Tender document to be signed by the bidder in every page,,,,,,,,,,,,,,,,,,,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,121960.0,VK Salt Suppliers,INR,0.0,06-Sep-2021 01:10 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,24-Feb-2022 02:43 PM,,,,,,,,0.0,8.0
,,,,,,,,,,,,,,,,.pdf,Technical qualification Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122058.0,JIWAN TRADING CO,INR,0.0,05-Sep-2021 06:41 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122175.0,ROHIT TRADERS,INR,0.0,07-Sep-2021 01:33 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122210.0,jain and jain co,INR,0.0,09-Sep-2021 11:53 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122218.0,jain enterprises,INR,0.0,05-Sep-2021 06:54 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122274.0,Dinesh Sales Corporation,INR,0.0,05-Sep-2021 02:49 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122285.0,s.d.enterprise,INR,0.0,05-Sep-2021 08:02 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122287.0,Prakash Flour Mill,INR,0.0,08-Sep-2021 04:37 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,36.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122314.0,KUSH SALT SUPPLIERS,INR,0.0,05-Sep-2021 02:22 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122318.0,ARIHANT ENTERPRISE,INR,0.0,05-Sep-2021 02:33 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,38.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122329.0,Assam Salt Supplier,INR,0.0,09-Sep-2021 12:16 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,35.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122331.0,R. K. JAIN AND SONS,INR,0.0,06-Sep-2021 08:22 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,23.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122332.0,M K Trader,INR,0.0,05-Sep-2021 02:44 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122337.0,Amit Enterprises,INR,0.0,06-Sep-2021 11:30 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,28.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122345.0,RAHUL TRADING CO.,INR,0.0,09-Sep-2021 08:44 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122347.0,S. K. TRADING CO.,INR,0.0,08-Sep-2021 02:35 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,26.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122348.0,RAJAT TRADING CO.,INR,0.0,08-Sep-2021 02:22 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,27.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122390.0,JAIN BIJAY AND COMPANY PVT LTD,INR,0.0,08-Sep-2021 02:05 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122431.0,East West India,INR,0.0,05-Sep-2021 03:00 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,17.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122508.0,Padmawati Trading Co.,INR,0.0,09-Sep-2021 11:38 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122573.0,Priya Enterprise,INR,0.0,07-Sep-2021 01:24 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,20.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122577.0,P. M. Enterprise,INR,0.0,08-Sep-2021 02:36 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122579.0,JAIN BROTHERS,INR,0.0,08-Sep-2021 04:41 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,18.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122582.0,Jain Corporation,INR,0.0,07-Sep-2021 12:05 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122606.0,ANU SALT SUPPLIERS,INR,0.0,09-Sep-2021 01:46 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,25.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122611.0,MONU SALT SUPPLIERS,INR,0.0,09-Sep-2021 01:50 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,24.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122635.0,UPPER ASSAM SALT SUPPLIERS,INR,0.0,05-Sep-2021 07:08 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,12.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122638.0,Shree Salt,INR,0.0,06-Sep-2021 08:07 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122650.0,ALOK ASSAM,INR,0.0,07-Sep-2021 02:07 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122651.0,KAMAKHYA SALT SUPPLIERS,INR,0.0,05-Sep-2021 06:32 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,31.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122654.0,MANOJ ENTERPRISE,INR,0.0,05-Sep-2021 06:40 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,21.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122655.0,Mahavir Enterprise,INR,0.0,07-Sep-2021 08:10 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122657.0,NAVEEN TRADING,INR,0.0,09-Sep-2021 11:09 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122666.0,NAV MANAS FOOD PRODUCTS,INR,0.0,05-Sep-2021 02:55 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,41.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122667.0,TINSUKIA SALT SUPPLIERS,INR,0.0,08-Sep-2021 10:28 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,22.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122668.0,Godha Salt Trading Co.,INR,0.0,05-Sep-2021 06:36 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122678.0,P. M. ENTERPRISE,INR,0.0,09-Sep-2021 10:50 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,32.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122680.0,S. M. TRADING CO.,INR,0.0,06-Sep-2021 11:40 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,37.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122685.0,Mohit Trade Agency,INR,0.0,08-Sep-2021 04:24 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,39.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122687.0,SALT MARKETING CENTRE,INR,0.0,08-Sep-2021 02:49 AM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,0.0,33.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-2021 11:56 PM,Accepted-AOC,Technically accepted,19-Aug-2024 04:07 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
